applicant_id,age,education,city_tier,employment_type,annual_income,credit_score,loan_amount,years_at_job,loan_approved,loan_approved_encoded,education_encoded,employment_type_Self-Employed,employment_type_Unemployed,city_tier_Tier 2,city_tier_Tier 3,income_standard_scaled,income_minmax_scaled,income_robust_scaled
21,22,Bachelors,Tier 2,Salaried,35400.0,552,207000.0,20,0,0,1.0,0.0,0.0,1.0,0.0,-0.9871372754930406,0.20359281437125748,-0.7250755287009063
22,26,High School,Tier 3,Self-Employed,64100.0,654,284000.0,9,0,0,0.0,1.0,0.0,0.0,1.0,0.5473117802854957,0.49001996007984033,0.4310171198388721
23,50,High School,Tier 2,Salaried,35600.0,502,55000.0,5,0,0,0.0,0.0,0.0,1.0,0.0,-0.9764442507140961,0.2055888223552894,-0.7170191339375629
24,52,High School,Tier 1,Self-Employed,38200.0,436,273000.0,12,0,0,0.0,1.0,0.0,0.0,0.0,-0.8374349285878175,0.2315369261477046,-0.6122860020140987
25,55,Bachelors,Tier 1,Salaried,71100.0,689,99000.0,26,1,1,1.0,0.0,0.0,0.0,0.0,0.9215676475485532,0.5598802395209581,0.7129909365558912
26,38,High School,Tier 1,Salaried,69300.0,881,183000.0,16,1,1,0.0,0.0,0.0,0.0,0.0,0.8253304245380527,0.5419161676646707,0.6404833836858006
27,36,High School,Tier 2,Salaried,34400.0,851,211000.0,29,1,1,0.0,0.0,0.0,1.0,0.0,-1.040602399387763,0.1936127744510978,-0.7653575025176234
28,52,PhD,Tier 1,Self-Employed,63700.0,702,203000.0,22,1,1,3.0,1.0,0.0,0.0,0.0,0.5259257307276066,0.48602794411177647,0.4149043303121853
29,25,PhD,Tier 1,Salaried,65500.0,736,241000.0,29,1,1,3.0,0.0,0.0,0.0,0.0,0.6221629537381071,0.503992015968064,0.4874118831822759
30,45,High School,Tier 1,Salaried,63600.0,442,122000.0,6,0,0,0.0,0.0,0.0,0.0,0.0,0.5205792183381344,0.48502994011976047,0.4108761329305136
31,34,High School,Tier 2,Salaried,62200.0,362,350000.0,4,1,1,0.0,0.0,0.0,1.0,0.0,0.44572804488552287,0.471057884231537,0.3544813695871098
32,39,High School,Tier 1,Salaried,80500.0,778,298000.0,27,0,0,0.0,0.0,0.0,0.0,0.0,1.4241398121589448,0.6536926147704591,1.0916414904330312
33,30,Bachelors,Tier 1,Salaried,31400.0,418,247000.0,8,0,0,1.0,0.0,0.0,0.0,0.0,-1.2009977710719306,0.16367265469061876,-0.8862034239677744
34,39,Masters,Tier 1,Self-Employed,97100.0,843,265000.0,11,1,1,2.0,1.0,0.0,0.0,0.0,2.3116608688113387,0.8193612774451098,1.7603222557905338
35,43,High School,Tier 1,Salaried,24600.0,647,165000.0,18,1,1,0.0,0.0,0.0,0.0,0.0,-1.564560613556044,0.09580838323353294,-1.1601208459214503
36,56,Bachelors,Tier 1,Self-Employed,54000.0,599,45000.0,3,1,1,1.0,1.0,0.0,0.0,0.0,0.007314028948798196,0.38922155688622756,0.02416918429003021
37,22,High School,Tier 3,Salaried,28100.0,484,63000.0,7,1,1,0.0,0.0,0.0,0.0,1.0,-1.377432679924515,0.13073852295409183,-1.0191339375629407
38,50,Bachelors,Tier 1,Salaried,58400.0,339,243000.0,2,0,0,1.0,0.0,0.0,0.0,0.0,0.24256057408557727,0.4331337325349302,0.2014098690835851
39,29,Bachelors,Tier 1,Salaried,41000.0,303,20000.0,8,1,1,1.0,0.0,0.0,0.0,0.0,-0.6877325816825945,0.2594810379241517,-0.499496475327291
40,58,PhD,Tier 1,Salaried,74700.0,743,339000.0,14,1,1,3.0,0.0,0.0,0.0,0.0,1.1140420935695543,0.595808383233533,0.8580060422960725
41,26,High School,Tier 1,Salaried,63600.0,556,238000.0,29,1,1,0.0,0.0,0.0,0.0,0.0,0.5205792183381344,0.48502994011976047,0.4108761329305136
42,50,Masters,Tier 1,Salaried,42000.0,357,116000.0,17,0,0,2.0,0.0,0.0,0.0,0.0,-0.634267457787872,0.2694610778443114,-0.459214501510574
43,29,Masters,Tier 1,Self-Employed,45300.0,422,151000.0,16,0,0,2.0,1.0,0.0,0.0,0.0,-0.4578325489352877,0.3023952095808383,-0.32628398791540786
44,26,Masters,Tier 3,Salaried,32800.0,888,58000.0,2,0,0,2.0,0.0,0.0,0.0,1.0,-1.1261465976193192,0.1776447105788423,-0.8298086606243706
45,29,High School,Tier 2,Salaried,19500.0,801,189000.0,0,0,0,0.0,0.0,0.0,1.0,0.0,-1.8372327454191286,0.044910179640718556,-1.365558912386707
46,56,Bachelors,Tier 3,Salaried,89200.0,662,234000.0,26,1,1,1.0,0.0,0.0,0.0,1.0,1.8892863900430308,0.7405189620758483,1.4420946626384692
47,53,PhD,Tier 1,Self-Employed,91900.0,362,307000.0,5,0,0,3.0,1.0,0.0,0.0,0.0,2.0336422245587817,0.7674650698602794,1.5508559919436051
48,42,Bachelors,Tier 1,Unemployed,36300.0,423,86000.0,6,0,0,1.0,0.0,1.0,0.0,0.0,-0.9390186639877903,0.2125748502994012,-0.6888217522658611
49,59,Masters,Tier 3,Unemployed,67200.0,611,295000.0,25,1,1,2.0,0.0,1.0,0.0,1.0,0.7130536643591354,0.5209580838323353,0.5558912386706949
50,35,Bachelors,Tier 1,Salaried,56300.0,472,220000.0,16,0,0,1.0,0.0,0.0,0.0,0.0,0.13028381390666,0.4121756487025949,0.11681772406847936
51,28,Masters,Tier 3,Unemployed,38700.0,658,192000.0,4,1,1,2.0,0.0,1.0,0.0,1.0,-0.8107023666404564,0.2365269461077844,-0.5921450151057401
52,46,Bachelors,Tier 3,Salaried,71300.0,800,203000.0,7,1,1,1.0,0.0,0.0,0.0,1.0,0.9322606723274978,0.5618762475049901,0.7210473313192346
53,40,High School,Tier 1,Self-Employed,55100.0,616,233000.0,22,1,1,0.0,1.0,0.0,0.0,0.0,0.06612566523299296,0.40019960079840317,0.06847935548841894
54,44,High School,Tier 1,Self-Employed,70300.0,684,364000.0,26,1,1,0.0,1.0,0.0,0.0,0.0,0.8787955484327752,0.5518962075848304,0.6807653575025177
55,46,High School,Tier 2,Salaried,75600.0,559,332000.0,17,0,0,0.0,0.0,0.0,1.0,0.0,1.1621607050748046,0.6047904191616766,0.8942598187311178
56,38,High School,Tier 1,Salaried,82300.0,852,273000.0,5,0,0,0.0,0.0,0.0,0.0,0.0,1.5203770351694454,0.6716566866267466,1.1641490433031219
57,38,PhD,Tier 1,Salaried,50200.0,342,134000.0,17,0,0,3.0,0.0,0.0,0.0,0.0,-0.19585344185114736,0.35129740518962077,-0.12890231621349446
58,46,Bachelors,Tier 1,Salaried,58400.0,398,180000.0,4,0,0,1.0,0.0,0.0,0.0,0.0,0.24256057408557727,0.4331337325349302,0.2014098690835851
59,25,Masters,Tier 1,Salaried,75300.0,769,280000.0,11,0,0,2.0,0.0,0.0,0.0,0.0,1.1461211679063878,0.6017964071856288,0.8821752265861027
60,57,Bachelors,Tier 1,Salaried,50200.0,627,233000.0,13,1,1,1.0,0.0,0.0,0.0,0.0,-0.19585344185114736,0.35129740518962077,-0.12890231621349446
61,58,Bachelors,Tier 2,Self-Employed,43500.0,324,130000.0,11,0,0,1.0,1.0,0.0,1.0,0.0,-0.5540697719457882,0.2844311377245509,-0.3987915407854985
62,23,Masters,Tier 3,Salaried,32000.0,632,364000.0,17,0,0,2.0,0.0,0.0,0.0,1.0,-1.1689186967350973,0.16966067864271456,-0.8620342396777442
63,42,Masters,Tier 1,Self-Employed,57900.0,568,413000.0,2,1,1,2.0,1.0,0.0,0.0,0.0,0.215828012138216,0.42814371257485034,0.18126888217522658
64,59,Masters,Tier 3,Salaried,68100.0,591,248000.0,28,1,1,2.0,0.0,0.0,0.0,1.0,0.7611722758643857,0.5299401197604792,0.5921450151057401
65,21,Masters,Tier 2,Salaried,53300.0,827,169000.0,25,1,1,2.0,0.0,0.0,1.0,0.0,-0.030111557777507566,0.3822355289421158,-0.004028197381671702
66,44,High School,Tier 1,Salaried,59600.0,559,201000.0,11,0,0,0.0,0.0,0.0,0.0,0.0,0.3067187227592443,0.4451097804391218,0.2497482376636455
67,49,Bachelors,Tier 1,Salaried,55900.0,673,110000.0,24,0,0,1.0,0.0,0.0,0.0,0.0,0.10889776434877098,0.4081836327345309,0.10070493454179255
68,39,High School,Tier 2,Salaried,58100.0,491,95000.0,29,0,0,0.0,0.0,0.0,1.0,0.0,0.22652103691716052,0.4301397205588822,0.18932527693857
69,39,Bachelors,Tier 1,Self-Employed,60600.0,346,231000.0,7,0,0,1.0,1.0,0.0,0.0,0.0,0.3601838466539668,0.4550898203592814,0.29003021148036257
70,42,Masters,Tier 1,Salaried,67300.0,508,180000.0,11,1,1,2.0,0.0,0.0,0.0,0.0,0.7184001767486077,0.5219560878243512,0.5599194360523666
71,47,High School,Tier 1,Self-Employed,36300.0,550,283000.0,0,1,1,0.0,1.0,0.0,0.0,0.0,-0.9390186639877903,0.2125748502994012,-0.6888217522658611
72,37,High School,Tier 3,Unemployed,45700.0,731,460000.0,7,0,0,0.0,0.0,1.0,0.0,1.0,-0.4364464993773987,0.3063872255489022,-0.31017119838872104
73,31,Bachelors,Tier 1,Self-Employed,83500.0,571,244000.0,1,0,0,1.0,1.0,0.0,0.0,0.0,1.5845351838431125,0.6836327345309381,1.2124874118831823
74,22,High School,Tier 1,Self-Employed,68200.0,457,202000.0,17,0,0,0.0,1.0,0.0,0.0,0.0,0.766518788253858,0.530938123752495,0.5961732124874118
75,36,Masters,Tier 3,Salaried,66000.0,533,217000.0,1,0,0,2.0,0.0,0.0,0.0,1.0,0.6488955156854684,0.5089820359281436,0.5075528700906344
76,27,Bachelors,Tier 3,Self-Employed,74900.0,509,242000.0,24,1,1,1.0,1.0,0.0,0.0,1.0,1.1247351183484988,0.5978043912175648,0.8660624370594159
77,42,Bachelors,Tier 2,Salaried,75300.0,336,334000.0,21,1,1,1.0,0.0,0.0,1.0,0.0,1.1461211679063878,0.6017964071856288,0.8821752265861027
78,22,Bachelors,Tier 1,Self-Employed,15800.0,324,220000.0,18,0,0,1.0,1.0,0.0,0.0,0.0,-2.035053703829602,0.007984031936127733,-1.51460221550856
79,58,Bachelors,Tier 3,Salaried,39300.0,462,281000.0,6,0,0,1.0,0.0,0.0,0.0,1.0,-0.7786232923036228,0.24251497005988026,-0.56797583081571
80,54,Masters,Tier 1,Salaried,29200.0,498,112000.0,5,0,0,2.0,0.0,0.0,0.0,0.0,-1.3186210436403203,0.1417165668662675,-0.9748237663645518
81,27,Masters,Tier 2,Unemployed,44700.0,748,121000.0,12,0,0,2.0,0.0,1.0,1.0,0.0,-0.48991162327212123,0.2964071856287425,-0.3504531722054381
82,48,High School,Tier 2,Salaried,53500.0,375,188000.0,27,0,0,0.0,0.0,0.0,1.0,0.0,-0.019418532998563064,0.3842315369261477,0.004028197381671702
83,29,Masters,Tier 2,Unemployed,60600.0,474,287000.0,1,0,0,2.0,0.0,1.0,1.0,0.0,0.3601838466539668,0.4550898203592814,0.29003021148036257
84,58,Bachelors,Tier 2,Self-Employed,44500.0,756,124000.0,26,1,1,1.0,1.0,0.0,1.0,0.0,-0.5006046480510657,0.2944111776447106,-0.35850956696878145
85,56,High School,Tier 3,Unemployed,41700.0,854,321000.0,27,0,0,0.0,0.0,1.0,0.0,1.0,-0.6503069949562887,0.26646706586826346,-0.47129909365558914
86,22,Bachelors,Tier 1,Self-Employed,71000.0,769,123000.0,18,1,1,1.0,1.0,0.0,0.0,0.0,0.916221135159081,0.5588822355289422,0.7089627391742196
87,38,Bachelors,Tier 1,Salaried,53400.0,629,222000.0,13,0,0,1.0,0.0,0.0,0.0,0.0,-0.024765045388035315,0.3832335329341317,0.0
88,37,PhD,Tier 1,Self-Employed,53100.0,815,203000.0,7,1,1,3.0,1.0,0.0,0.0,0.0,-0.04080458255645207,0.38023952095808383,-0.012084592145015106
89,31,Bachelors,Tier 1,Salaried,51700.0,628,348000.0,12,0,0,1.0,0.0,0.0,0.0,0.0,-0.1156557560090636,0.36626746506986024,-0.06847935548841894
90,21,High School,Tier 3,Self-Employed,39600.0,524,122000.0,28,1,1,0.0,1.0,0.0,0.0,1.0,-0.762583755135206,0.24550898203592814,-0.5558912386706949
91,21,Masters,Tier 1,Unemployed,47000.0,686,129000.0,24,1,1,2.0,0.0,1.0,0.0,0.0,-0.3669418383142594,0.3193612774451098,-0.2578046324269889
92,53,High School,Tier 2,Salaried,35800.0,842,182000.0,13,1,1,0.0,0.0,0.0,1.0,0.0,-0.9657512259351516,0.20758483033932135,-0.7089627391742196
93,50,Bachelors,Tier 3,Salaried,58400.0,522,272000.0,12,0,0,1.0,0.0,0.0,0.0,1.0,0.24256057408557727,0.4331337325349302,0.2014098690835851
94,22,Masters,Tier 1,Salaried,71300.0,438,268000.0,22,0,0,2.0,0.0,0.0,0.0,0.0,0.9322606723274978,0.5618762475049901,0.7210473313192346
95,22,Bachelors,Tier 2,Salaried,46900.0,391,97000.0,26,0,0,1.0,0.0,0.0,1.0,0.0,-0.3722883507037317,0.31836327345309384,-0.2618328298086606
96,57,Bachelors,Tier 2,Salaried,60400.0,509,136000.0,9,0,0,1.0,0.0,0.0,1.0,0.0,0.3494908218750223,0.45309381237524954,0.28197381671701915
97,42,Masters,Tier 3,Salaried,28800.0,779,93000.0,15,0,0,2.0,0.0,0.0,0.0,1.0,-1.3400070931982093,0.13772455089820357,-0.9909365558912386
98,57,High School,Tier 1,Salaried,47500.0,391,360000.0,25,0,0,0.0,0.0,0.0,0.0,0.0,-0.3402092763668982,0.32435129740518964,-0.23766364551863042
99,26,Bachelors,Tier 2,Salaried,34800.0,537,245000.0,25,1,1,1.0,0.0,0.0,1.0,0.0,-1.019216349829874,0.19760479041916168,-0.7492447129909365
100,24,Bachelors,Tier 3,Self-Employed,77400.0,712,265000.0,5,1,1,1.0,1.0,0.0,0.0,1.0,1.258397928085305,0.6227544910179641,0.9667673716012085
101,22,PhD,Tier 1,Salaried,79900.0,320,20000.0,17,1,1,3.0,0.0,0.0,0.0,0.0,1.3920607378221115,0.6477045908183634,1.067472306143001
102,57,Masters,Tier 1,Self-Employed,59600.0,612,227000.0,12,1,1,2.0,1.0,0.0,0.0,0.0,0.3067187227592443,0.4451097804391218,0.2497482376636455
103,37,High School,Tier 1,Salaried,47900.0,734,186000.0,6,1,1,0.0,0.0,0.0,0.0,0.0,-0.31882322680900915,0.3283433133732535,-0.2215508559919436
104,42,High School,Tier 2,Self-Employed,62300.0,511,293000.0,20,1,1,0.0,1.0,0.0,1.0,0.0,0.45107455727499507,0.4720558882235529,0.35850956696878145
105,54,Bachelors,Tier 1,Salaried,74300.0,481,63000.0,8,0,0,1.0,0.0,0.0,0.0,0.0,1.0926560440116653,0.591816367265469,0.8418932527693856
106,24,Masters,Tier 3,Salaried,59200.0,588,334000.0,2,1,1,2.0,0.0,0.0,0.0,1.0,0.2853326732013553,0.44111776447105794,0.23363544813695872
107,28,Bachelors,Tier 1,Salaried,64800.0,350,270000.0,8,1,1,1.0,0.0,0.0,0.0,0.0,0.5847373670118013,0.49700598802395207,0.459214501510574
108,49,Bachelors,Tier 2,Unemployed,41400.0,838,265000.0,11,1,1,1.0,0.0,1.0,1.0,0.0,-0.6663465321247055,0.2634730538922156,-0.48338368580060426
109,29,Masters,Tier 1,Salaried,28300.0,529,103000.0,14,1,1,2.0,0.0,0.0,0.0,0.0,-1.3667396551455706,0.13273453093812376,-1.0110775427995973
110,59,PhD,Tier 2,Self-Employed,60800.0,636,388000.0,13,0,0,3.0,1.0,0.0,1.0,0.0,0.3708768714329113,0.4570858283433134,0.2980866062437059
111,27,Bachelors,Tier 3,Salaried,63300.0,404,237000.0,16,1,1,1.0,0.0,0.0,0.0,1.0,0.5045396811697176,0.4820359281437126,0.3987915407854985
112,50,Masters,Tier 1,Self-Employed,32200.0,499,242000.0,14,0,0,2.0,1.0,0.0,0.0,0.0,-1.1582256719561528,0.1716566866267465,-0.8539778449144008
113,28,Bachelors,Tier 2,Self-Employed,56300.0,827,217000.0,6,0,0,1.0,1.0,0.0,1.0,0.0,0.13028381390666,0.4121756487025949,0.11681772406847936
114,38,High School,Tier 1,Self-Employed,40200.0,671,189000.0,3,0,0,0.0,1.0,0.0,0.0,0.0,-0.7305046807983725,0.25149700598802394,-0.5317220543806647
115,34,Bachelors,Tier 1,Self-Employed,48400.0,851,230000.0,15,1,1,1.0,1.0,0.0,0.0,0.0,-0.2920906648616479,0.3333333333333333,-0.2014098690835851
116,56,Bachelors,Tier 1,Salaried,53000.0,626,230000.0,20,1,1,1.0,0.0,0.0,0.0,0.0,-0.04615109494592432,0.37924151696606784,-0.016112789526686808
117,37,Masters,Tier 2,Salaried,48800.0,768,313000.0,4,1,1,2.0,0.0,0.0,1.0,0.0,-0.2707046153037589,0.33732534930139724,-0.18529707955689828
118,59,PhD,Tier 1,Salaried,57900.0,606,264000.0,20,0,0,3.0,0.0,0.0,0.0,0.0,0.215828012138216,0.42814371257485034,0.18126888217522658
119,40,Masters,Tier 1,Salaried,115200.0,415,151000.0,25,0,0,2.0,0.0,0.0,0.0,0.0,3.2793796113058162,1.0,2.489425981873112
120,54,Masters,Tier 1,Salaried,24200.0,308,233000.0,9,0,0,2.0,0.0,0.0,0.0,0.0,-1.5859466631139327,0.09181636726546905,-1.1762336354481369
121,28,Masters,Tier 1,Unemployed,38800.0,727,303000.0,3,0,0,2.0,0.0,1.0,0.0,0.0,-0.8053558542509841,0.2375249500998004,-0.5881168177240684
122,55,Masters,Tier 1,Self-Employed,85000.0,813,158000.0,7,1,1,2.0,1.0,0.0,0.0,0.0,1.6647328696851962,0.6986027944111777,1.2729103726082578
123,35,Masters,Tier 1,Unemployed,87600.0,896,207000.0,24,1,1,2.0,0.0,1.0,0.0,0.0,1.8037421918114749,0.7245508982035929,1.3776435045317221
124,58,PhD,Tier 3,Self-Employed,56900.0,398,316000.0,7,0,0,3.0,1.0,0.0,0.0,1.0,0.1623628882434935,0.4181636726546906,0.14098690835850958
125,53,Bachelors,Tier 3,Salaried,63700.0,524,255000.0,3,1,1,1.0,0.0,0.0,0.0,1.0,0.5259257307276066,0.48602794411177647,0.4149043303121853
126,50,High School,Tier 3,Salaried,66100.0,489,170000.0,12,0,0,0.0,0.0,0.0,0.0,1.0,0.6542420280749407,0.5099800399201597,0.5115810674723061
127,57,High School,Tier 1,Salaried,66100.0,412,269000.0,27,0,0,0.0,0.0,0.0,0.0,0.0,0.6542420280749407,0.5099800399201597,0.5115810674723061
128,28,High School,Tier 3,Unemployed,63800.0,348,301000.0,27,0,0,0.0,0.0,1.0,0.0,1.0,0.5312722431170789,0.48702594810379246,0.418932527693857
129,58,Bachelors,Tier 2,Self-Employed,15000.0,749,278000.0,2,0,0,1.0,1.0,0.0,1.0,0.0,-2.0778258029453798,0.0,-1.5468277945619335
130,36,Masters,Tier 3,Salaried,50800.0,444,232000.0,25,0,0,2.0,0.0,0.0,0.0,1.0,-0.16377436751431387,0.3572854291417166,-0.10473313192346426
131,35,High School,Tier 1,Salaried,59700.0,392,384000.0,2,0,0,0.0,0.0,0.0,0.0,0.0,0.31206523514871654,0.4461077844311377,0.2537764350453172
132,41,Bachelors,Tier 2,Salaried,75900.0,715,92000.0,23,0,0,1.0,0.0,0.0,1.0,0.0,1.1782002422432214,0.6077844311377245,0.9063444108761329
133,35,Masters,Tier 2,Salaried,70500.0,316,245000.0,10,0,0,2.0,0.0,0.0,1.0,0.0,0.8894885732117197,0.5538922155688624,0.6888217522658611
134,59,High School,Tier 2,Self-Employed,42500.0,390,272000.0,27,0,0,0.0,1.0,0.0,1.0,0.0,-0.6075348958405108,0.2744510978043912,-0.4390735146022155
135,46,High School,Tier 2,Salaried,31100.0,703,133000.0,12,1,1,0.0,0.0,0.0,1.0,0.0,-1.2170373082403474,0.16067864271457089,-0.8982880161127895
136,58,High School,Tier 3,Salaried,62700.0,827,145000.0,4,0,0,0.0,0.0,0.0,0.0,1.0,0.4724606068328841,0.47604790419161674,0.37462235649546827
137,52,High School,Tier 3,Salaried,38500.0,824,150000.0,25,1,1,0.0,0.0,0.0,0.0,1.0,-0.8213953914194009,0.23453093812375247,-0.6002014098690835
138,51,Masters,Tier 1,Salaried,60400.0,539,225000.0,1,0,0,2.0,0.0,0.0,0.0,0.0,0.3494908218750223,0.45309381237524954,0.28197381671701915
139,44,High School,Tier 1,Salaried,79900.0,782,203000.0,7,1,1,0.0,0.0,0.0,0.0,0.0,1.3920607378221115,0.6477045908183634,1.067472306143001
140,58,High School,Tier 2,Salaried,61400.0,635,259000.0,5,0,0,0.0,0.0,0.0,1.0,0.0,0.4029559457697448,0.46307385229540915,0.32225579053373615
141,24,Masters,Tier 1,Salaried,45600.0,351,322000.0,3,1,1,2.0,0.0,0.0,0.0,0.0,-0.44179301176687097,0.30538922155688625,-0.31419939577039274
142,41,Masters,Tier 3,Unemployed,65700.0,396,157000.0,20,1,1,2.0,0.0,1.0,0.0,1.0,0.6328559785170517,0.5059880239520957,0.4954682779456193
143,59,Bachelors,Tier 2,Salaried,73900.0,608,220000.0,27,0,0,1.0,0.0,0.0,1.0,0.0,1.0712699944537762,0.5878243512974053,0.8257804632426989
144,59,Masters,Tier 1,Salaried,87400.0,776,247000.0,6,1,1,2.0,0.0,0.0,0.0,0.0,1.7930491670325304,0.7225548902195609,1.3695871097683787
145,32,High School,Tier 2,Unemployed,43300.0,865,32000.0,10,1,1,0.0,0.0,1.0,1.0,0.0,-0.5647627967247327,0.282435129740519,-0.4068479355488419
146,41,PhD,Tier 3,Salaried,51200.0,843,189000.0,10,1,1,3.0,0.0,0.0,0.0,1.0,-0.14238831795642484,0.3612774451097805,-0.08862034239677745
147,32,Bachelors,Tier 3,Salaried,31700.0,840,54000.0,10,1,1,1.0,0.0,0.0,0.0,1.0,-1.1849582339035138,0.16666666666666669,-0.8741188318227593
148,47,Bachelors,Tier 2,Salaried,54600.0,300,134000.0,9,1,1,1.0,0.0,0.0,1.0,0.0,0.039393103285631705,0.3952095808383234,0.04833836858006042
149,58,Masters,Tier 1,Self-Employed,69300.0,336,119000.0,28,0,0,2.0,1.0,0.0,0.0,0.0,0.8253304245380527,0.5419161676646707,0.6404833836858006
150,42,Bachelors,Tier 3,Self-Employed,56800.0,353,300000.0,26,1,1,1.0,1.0,0.0,0.0,1.0,0.15701637585402126,0.4171656686626746,0.13695871097683787
151,33,PhD,Tier 1,Self-Employed,40300.0,801,148000.0,9,1,1,3.0,1.0,0.0,0.0,0.0,-0.7251581684089003,0.25249500998003993,-0.527693856998993
152,46,High School,Tier 3,Self-Employed,54300.0,727,143000.0,19,1,1,0.0,1.0,0.0,0.0,1.0,0.023353566117214952,0.39221556886227543,0.03625377643504532
153,37,Bachelors,Tier 2,Salaried,74300.0,591,268000.0,1,1,1,1.0,0.0,0.0,1.0,0.0,1.0926560440116653,0.591816367265469,0.8418932527693856
154,35,Bachelors,Tier 2,Unemployed,45100.0,875,188000.0,2,1,1,1.0,0.0,1.0,1.0,0.0,-0.4685255737142322,0.3003992015968064,-0.33434038267875127
155,33,Bachelors,Tier 3,Salaried,90300.0,602,78000.0,2,1,1,1.0,0.0,0.0,0.0,1.0,1.9480980263272256,0.7514970059880239,1.486404833836858
156,31,High School,Tier 1,Salaried,35500.0,631,298000.0,24,0,0,0.0,0.0,0.0,0.0,0.0,-0.9817907631035684,0.20459081836327347,-0.7210473313192346
157,25,High School,Tier 1,Self-Employed,43500.0,389,288000.0,21,0,0,0.0,1.0,0.0,0.0,0.0,-0.5540697719457882,0.2844311377245509,-0.3987915407854985
158,29,Bachelors,Tier 1,Salaried,15000.0,604,171000.0,26,0,0,1.0,0.0,0.0,0.0,0.0,-2.0778258029453798,0.0,-1.5468277945619335
159,55,Bachelors,Tier 1,Salaried,47200.0,536,52000.0,27,0,0,1.0,0.0,0.0,0.0,0.0,-0.3562488135353149,0.3213572854291417,-0.2497482376636455
160,49,Masters,Tier 1,Salaried,68000.0,717,137000.0,23,0,0,2.0,0.0,0.0,0.0,0.0,0.7558257634749135,0.5289421157684631,0.5881168177240684
