applicant_id,age,education,city_tier,employment_type,annual_income,credit_score,loan_amount,years_at_job,loan_approved
143,59,Bachelors,Tier 2,Salaried,73900.0,608,220000.0,27,0
144,59,Masters,Tier 1,Salaried,87400.0,776,247000.0,6,1
145,32,High School,Tier 2,Unemployed,43300.0,865,32000.0,10,1
146,41,PhD,Tier 3,Salaried,51200.0,843,189000.0,10,1
147,32,Bachelors,Tier 3,Salaried,31700.0,840,54000.0,10,1
148,47,Bachelors,Tier 2,Salaried,54600.0,300,134000.0,9,1
149,58,Masters,Tier 1,Self-Employed,69300.0,336,119000.0,28,0
150,42,Bachelors,Tier 3,Self-Employed,56800.0,353,300000.0,26,1
151,33,PhD,Tier 1,Self-Employed,40300.0,801,148000.0,9,1
152,46,High School,Tier 3,Self-Employed,54300.0,727,143000.0,19,1
153,37,Bachelors,Tier 2,Salaried,74300.0,591,268000.0,1,1
154,35,Bachelors,Tier 2,Unemployed,45100.0,875,188000.0,2,1
155,33,Bachelors,Tier 3,Salaried,90300.0,602,78000.0,2,1
156,31,High School,Tier 1,Salaried,35500.0,631,298000.0,24,0
157,25,High School,Tier 1,Self-Employed,43500.0,389,288000.0,21,0
158,29,Bachelors,Tier 1,Salaried,15000.0,604,171000.0,26,0
159,55,Bachelors,Tier 1,Salaried,47200.0,536,52000.0,27,0
160,49,Masters,Tier 1,Salaried,68000.0,717,137000.0,23,0
161,27,Bachelors,Tier 3,Self-Employed,86300.0,668,116000.0,2,1
162,56,Bachelors,Tier 1,Salaried,63900.0,350,341000.0,23,0
163,56,Bachelors,Tier 1,Salaried,31800.0,769,134000.0,9,0
164,52,Bachelors,Tier 3,Self-Employed,59600.0,583,267000.0,0,1
165,40,PhD,Tier 1,Salaried,21400.0,630,309000.0,17,1
166,37,Masters,Tier 1,Self-Employed,40800.0,603,225000.0,18,1
167,49,Bachelors,Tier 2,Salaried,100300.0,414,227000.0,19,1
168,54,High School,Tier 3,Salaried,51500.0,663,313000.0,23,0
169,30,Bachelors,Tier 1,Salaried,50600.0,434,270000.0,7,1
170,46,Masters,Tier 1,Self-Employed,55400.0,492,61000.0,0,1
171,41,Masters,Tier 1,Salaried,57000.0,316,291000.0,21,1
172,24,PhD,Tier 3,Self-Employed,65700.0,434,20000.0,19,0
173,47,High School,Tier 3,Self-Employed,52700.0,334,137000.0,27,1
174,29,Bachelors,Tier 1,Salaried,50800.0,731,269000.0,14,0
175,40,Bachelors,Tier 2,Salaried,36100.0,830,31000.0,14,1
176,54,Bachelors,Tier 1,Salaried,106800.0,557,290000.0,4,1
177,24,Bachelors,Tier 3,Salaried,55100.0,385,393000.0,1,1
178,24,Bachelors,Tier 1,Unemployed,66600.0,892,177000.0,0,1
179,31,Bachelors,Tier 1,Self-Employed,49500.0,673,32000.0,8,1
180,43,High School,Tier 1,Salaried,44400.0,373,343000.0,24,0
181,27,High School,Tier 3,Salaried,19800.0,628,109000.0,1,0
182,38,Bachelors,Tier 1,Salaried,51600.0,658,81000.0,14,0
183,54,High School,Tier 1,Self-Employed,58900.0,622,91000.0,12,1
184,52,Bachelors,Tier 1,Self-Employed,50400.0,630,144000.0,21,1
185,49,Bachelors,Tier 3,Self-Employed,38200.0,858,131000.0,22,1
186,26,Bachelors,Tier 1,Self-Employed,52000.0,370,363000.0,6,0
187,56,PhD,Tier 1,Salaried,20800.0,719,106000.0,13,0
188,54,Bachelors,Tier 2,Salaried,87400.0,725,39000.0,24,1
189,26,Bachelors,Tier 1,Self-Employed,59200.0,810,47000.0,5,1
190,48,Bachelors,Tier 2,Self-Employed,77700.0,747,149000.0,12,1
191,51,Masters,Tier 1,Self-Employed,81600.0,301,339000.0,20,1
192,32,Bachelors,Tier 1,Salaried,44400.0,345,64000.0,24,0
193,50,Bachelors,Tier 2,Salaried,53400.0,343,171000.0,8,0
194,21,Bachelors,Tier 1,Salaried,73800.0,320,254000.0,8,0
195,33,Bachelors,Tier 1,Self-Employed,28200.0,825,161000.0,0,1
196,42,Masters,Tier 3,Self-Employed,51600.0,560,165000.0,11,0
197,35,Bachelors,Tier 3,Self-Employed,15000.0,586,154000.0,9,1
198,50,Bachelors,Tier 1,Salaried,15000.0,501,221000.0,18,1
199,46,High School,Tier 1,Salaried,35500.0,751,122000.0,20,0
200,28,High School,Tier 1,Self-Employed,41600.0,823,319000.0,29,1
201,44,Bachelors,Tier 2,Salaried,76800.0,774,29000.0,20,1
202,38,High School,Tier 1,Salaried,53100.0,480,275000.0,29,0
203,39,High School,Tier 2,Salaried,51300.0,613,286000.0,10,0
204,59,High School,Tier 2,Salaried,57100.0,839,194000.0,9,0
205,29,High School,Tier 2,Salaried,42600.0,337,163000.0,27,0
206,52,Bachelors,Tier 1,Unemployed,48500.0,690,302000.0,27,1
207,22,Bachelors,Tier 1,Salaried,30100.0,400,104000.0,28,0
208,37,Masters,Tier 2,Salaried,52300.0,350,170000.0,27,0
209,43,Bachelors,Tier 1,Salaried,73900.0,682,112000.0,25,1
210,41,High School,Tier 1,Unemployed,58600.0,885,215000.0,28,1
211,58,Masters,Tier 1,Salaried,42100.0,727,109000.0,8,0
212,21,Masters,Tier 1,Salaried,21000.0,767,134000.0,27,1
213,51,Bachelors,Tier 1,Salaried,51700.0,549,252000.0,29,0
214,23,Bachelors,Tier 3,Salaried,44900.0,445,190000.0,13,0
215,24,Bachelors,Tier 2,Self-Employed,24900.0,364,214000.0,27,0
216,36,High School,Tier 1,Salaried,50400.0,559,337000.0,26,0
217,33,Bachelors,Tier 2,Self-Employed,34900.0,698,20000.0,26,1
218,34,PhD,Tier 1,Salaried,68800.0,576,141000.0,25,0
219,35,Masters,Tier 1,Salaried,21200.0,739,195000.0,19,0
220,22,High School,Tier 1,Salaried,81000.0,585,320000.0,11,1
221,33,High School,Tier 2,Salaried,46100.0,832,96000.0,21,1
222,29,Masters,Tier 1,Unemployed,61400.0,529,183000.0,10,1
223,57,Masters,Tier 1,Self-Employed,55300.0,309,242000.0,26,1
224,43,Masters,Tier 1,Salaried,39800.0,756,97000.0,9,1
225,23,Masters,Tier 1,Unemployed,66800.0,813,153000.0,3,1
226,26,High School,Tier 2,Salaried,39700.0,664,194000.0,26,1
227,24,Masters,Tier 1,Salaried,64800.0,513,146000.0,1,1
228,27,High School,Tier 2,Salaried,50600.0,876,246000.0,0,1
229,58,High School,Tier 2,Salaried,48600.0,388,274000.0,5,1
230,36,Bachelors,Tier 2,Self-Employed,68800.0,423,158000.0,6,1
231,41,High School,Tier 2,Salaried,38600.0,706,255000.0,2,0
232,56,Masters,Tier 1,Salaried,15000.0,842,236000.0,17,1
233,22,High School,Tier 1,Self-Employed,58900.0,499,196000.0,6,1
234,59,Masters,Tier 1,Self-Employed,88800.0,718,130000.0,22,1
235,55,Bachelors,Tier 1,Salaried,29700.0,488,342000.0,7,0
236,41,Masters,Tier 1,Unemployed,42800.0,457,97000.0,8,0
237,29,Bachelors,Tier 3,Salaried,53500.0,856,219000.0,22,1
238,35,PhD,Tier 2,Self-Employed,67400.0,665,272000.0,10,0
239,49,Bachelors,Tier 2,Self-Employed,72000.0,475,20000.0,7,0
240,58,Bachelors,Tier 2,Self-Employed,51800.0,825,136000.0,4,1
241,39,Bachelors,Tier 2,Salaried,18200.0,323,26000.0,14,0
242,35,Masters,Tier 2,Self-Employed,63900.0,316,178000.0,23,1
243,27,Bachelors,Tier 3,Salaried,72700.0,697,253000.0,20,1
244,27,Masters,Tier 3,Self-Employed,77100.0,769,133000.0,1,1
245,24,High School,Tier 1,Salaried,74900.0,547,202000.0,0,1
246,39,High School,Tier 3,Salaried,15000.0,394,260000.0,22,0
247,44,Bachelors,Tier 1,Salaried,45800.0,878,131000.0,12,1
248,40,High School,Tier 1,Salaried,86900.0,343,171000.0,6,0
249,36,High School,Tier 1,Salaried,27700.0,363,102000.0,27,0
250,35,Masters,Tier 2,Salaried,26900.0,692,242000.0,19,0
