employee_id,age,department,city,experience_years,monthly_salary,satisfaction_score
102,33,Finance,Pune,12,83100.0,6.0
103,21,Marketing,Mumbai,0,43500.0,8.5
104,27,Sales,Hyderabad,5,52300.0,7.3
105,38,HR,Pune,16,92500.0,5.9
106,32,Sales,Pune,11,82500.0,5.7
107,32,Finance,Chennai,10,90300.0,7.2
108,45,Operations,Mumbai,22,124600.0,5.3
109,47,Sales,Delhi,25,146600.0,5.7
110,32,Engineering,Hyderabad,9,62800.0,8.6
111,46,Sales,Chennai,24,131200.0,8.5
112,21,Marketing,Delhi,0,33900.0,8.4
113,21,Engineering,Bangalore,0,28800.0,9.4
114,38,Marketing,Bangalore,16,106800.0,6.5
115,30,Sales,Bangalore,9,81000.0,7.8
116,36,Finance,Bangalore,15,88400.0,8.8
117,36,HR,Mumbai,15,92400.0,2.9
118,31,Sales,Kolkata,8,66700.0,
119,37,Engineering,Chennai,16,120900.0,8.3
120,33,Sales,Bangalore,10,72800.0,8.2
121,21,Operations,Bangalore,0,26500.0,5.6
122,34,Engineering,Bangalore,12,87900.0,5.8
123,33,Engineering,Delhi,11,96800.0,8.0
124,45,Sales,Hyderabad,22,124800.0,9.9
125,24,Engineering,Mumbai,2,37000.0,6.2
126,32,Marketing,Pune,9,71300.0,6.8
127,29,HR,Pune,8,72500.0,5.4
128,31,Operations,Chennai,8,84000.0,6.5
129,44,Engineering,Delhi,21,115100.0,6.6
130,35,Finance,Kolkata,13,75800.0,9.4
131,29,Marketing,Mumbai,7,63300.0,5.4
132,33,Finance,Pune,12,88900.0,7.9
133,37,Finance,Bangalore,14,75800.0,9.6
134,25,Sales,Bangalore,4,43700.0,6.6
135,30,HR,Delhi,7,69800.0,9.8
136,43,Engineering,Chennai,21,120900.0,8.2
137,38,Marketing,Bangalore,16,106500.0,8.9
138,32,Sales,Pune,10,77100.0,9.6
139,29,HR,Pune,8,71900.0,6.2
140,31,HR,Mumbai,8,70200.0,4.1
141,21,Marketing,Hyderabad,0,32800.0,8.2
142,39,Sales,Bangalore,16,112700.0,9.2
143,34,Engineering,Pune,12,80200.0,6.3
144,33,Operations,Kolkata,11,81200.0,6.9
145,23,Finance,Hyderabad,1,44300.0,4.4
146,27,Marketing,Bangalore,4,44300.0,4.9
147,36,Sales,Bangalore,15,95300.0,7.0
148,34,Sales,Chennai,11,74300.0,8.2
149,29,Engineering,Mumbai,6,50300.0,9.2
150,36,HR,Chennai,13,105500.0,5.9
151,39,Engineering,Kolkata,17,111100.0,8.8
152,27,Sales,Bangalore,6,72800.0,6.0
153,28,Sales,Chennai,5,59200.0,7.7
154,26,Finance,Kolkata,4,49500.0,
155,24,Engineering,Chennai,2,37600.0,5.4
156,38,Operations,Kolkata,16,105000.0,9.1
157,36,HR,Mumbai,13,89000.0,8.5
158,34,Finance,Delhi,12,92100.0,8.0
159,24,Finance,Pune,3,37400.0,9.5
160,25,Sales,Chennai,3,45700.0,6.9
161,32,Marketing,Delhi,10,79500.0,7.5
162,29,Finance,Hyderabad,6,56000.0,7.1
163,33,Operations,Hyderabad,10,74000.0,8.3
164,27,Sales,Chennai,4,53200.0,5.3
165,37,Finance,Hyderabad,14,98300.0,8.5
166,45,Engineering,Chennai,24,138000.0,8.4
167,43,Sales,Bangalore,20,120700.0,8.0
168,43,HR,Delhi,22,125400.0,7.8
169,32,Marketing,Mumbai,11,84800.0,7.2
170,38,Sales,Chennai,17,106400.0,6.3
171,29,Sales,Chennai,7,49800.0,8.4
172,38,Engineering,Kolkata,15,95800.0,8.8
173,29,Engineering,Hyderabad,6,62700.0,6.1
174,29,HR,Pune,8,69000.0,8.6
175,27,Engineering,Hyderabad,4,41700.0,9.5
176,37,Marketing,Kolkata,14,99600.0,7.2
177,34,Operations,Mumbai,12,89500.0,5.7
178,33,Operations,Bangalore,10,80600.0,8.6
179,24,Sales,Pune,1,47400.0,4.8
180,33,Engineering,Hyderabad,11,77500.0,9.5
181,22,Engineering,Mumbai,1,39900.0,9.1
182,42,Operations,Mumbai,19,114100.0,6.3
183,31,Operations,Mumbai,10,83500.0,9.7
184,33,Finance,Bangalore,10,84900.0,5.8
185,31,Sales,Hyderabad,8,70500.0,7.0
186,21,Operations,Pune,0,36500.0,
187,22,Engineering,Delhi,1,28500.0,7.9
188,32,Finance,Hyderabad,11,85000.0,4.8
189,42,Sales,Bangalore,19,106500.0,8.1
190,24,Finance,Bangalore,1,52300.0,
191,27,Finance,Hyderabad,5,62200.0,8.4
192,32,Finance,Pune,9,58700.0,5.1
193,21,Sales,Delhi,0,20000.0,9.0
194,21,Finance,Pune,0,40800.0,6.4
195,29,HR,Chennai,8,59500.0,7.9
196,32,Finance,Mumbai,9,75100.0,8.4
197,29,Sales,Bangalore,6,46900.0,6.9
198,43,Engineering,Delhi,22,129800.0,
199,31,Marketing,Mumbai,9,65600.0,7.9
200,35,Engineering,Hyderabad,13,93500.0,7.7
201,43,HR,Pune,20,117500.0,
202,44,Finance,Kolkata,22,141100.0,6.9
203,21,Sales,Kolkata,0,24100.0,7.3
204,29,Sales,Delhi,7,71900.0,6.8
205,40,Engineering,Delhi,18,111000.0,5.4
206,22,Engineering,Hyderabad,0,34300.0,6.6
207,26,Sales,Hyderabad,4,35400.0,7.3
208,23,Operations,Bangalore,2,25100.0,8.2
209,22,Operations,Delhi,1,43000.0,7.0
210,24,Finance,Delhi,2,29300.0,9.1
211,33,Sales,Chennai,12,81400.0,5.9
212,41,Finance,Pune,18,108500.0,8.0
213,43,Sales,Delhi,20,112900.0,4.7
214,32,HR,Chennai,10,76700.0,7.0
215,21,Marketing,Pune,0,20000.0,8.5
216,32,Engineering,Chennai,9,61100.0,6.3
217,30,Finance,Bangalore,7,69000.0,7.2
218,34,Finance,Bangalore,12,77600.0,6.2
219,31,Engineering,Bangalore,9,76500.0,5.4
220,21,Operations,Bangalore,0,35400.0,9.1
221,35,Sales,Chennai,14,105200.0,7.4
222,21,Sales,Hyderabad,0,33700.0,8.0
223,27,Engineering,Pune,6,42400.0,8.5
224,34,Engineering,Hyderabad,13,83300.0,9.3
225,34,Engineering,Delhi,11,76200.0,7.9
226,43,HR,Kolkata,22,138900.0,6.8
227,21,Marketing,Mumbai,0,32800.0,8.0
228,34,Engineering,Bangalore,11,75600.0,5.6
229,37,HR,Bangalore,14,96500.0,5.8
230,30,Engineering,Mumbai,9,67700.0,6.1
231,36,Sales,Hyderabad,15,101900.0,7.7
232,24,Finance,Hyderabad,2,40200.0,6.2
233,37,Finance,Chennai,14,101900.0,6.2
234,36,Sales,Mumbai,15,100200.0,4.5
235,25,Sales,Delhi,3,51500.0,8.4
236,27,Finance,Chennai,4,47900.0,7.9
237,31,Engineering,Chennai,10,80700.0,8.3
238,27,Operations,Bangalore,4,46800.0,6.1
239,39,Sales,Kolkata,16,107100.0,4.5
240,33,Sales,Mumbai,12,85800.0,6.3
241,41,HR,Bangalore,18,110000.0,9.1
242,40,Operations,Pune,18,107600.0,4.5
243,32,HR,Kolkata,11,77300.0,7.3
244,31,Marketing,Mumbai,10,78800.0,9.7
245,25,Sales,Mumbai,4,29700.0,6.5
246,26,Engineering,Pune,3,53400.0,7.1
247,26,Sales,Bangalore,3,24600.0,8.1
248,34,Operations,Mumbai,12,82500.0,8.7
249,26,Operations,Delhi,4,45400.0,
250,33,Marketing,Chennai,11,85400.0,7.1
251,33,Marketing,Mumbai,10,76900.0,6.6
252,29,Operations,Mumbai,6,56700.0,7.0
253,31,HR,Hyderabad,8,66700.0,7.4
254,42,Marketing,Delhi,21,132100.0,6.0
255,43,Engineering,Delhi,22,147700.0,8.3
256,27,Sales,Delhi,6,60000.0,9.0
257,31,Engineering,Pune,10,58500.0,8.8
258,29,HR,Pune,8,62600.0,8.0
259,30,HR,Kolkata,8,69400.0,8.2
260,43,Engineering,Kolkata,21,151000.0,5.3
261,37,Sales,Pune,15,91400.0,7.4
262,41,HR,Hyderabad,18,108000.0,9.6
263,44,Sales,Kolkata,21,129000.0,7.5
264,29,Marketing,Bangalore,8,68600.0,
265,31,Sales,Hyderabad,10,64400.0,5.3
266,32,Finance,Mumbai,11,87100.0,9.0
267,39,HR,Hyderabad,17,96000.0,7.3
268,31,Marketing,Pune,10,72900.0,7.4
269,37,Marketing,Delhi,15,108100.0,
270,40,Finance,Kolkata,18,100400.0,5.2
271,40,Marketing,Chennai,18,108200.0,5.2
272,35,Sales,Mumbai,14,106400.0,4.5
273,26,Engineering,Pune,3,41400.0,7.2
274,21,Engineering,Pune,0,21600.0,7.9
275,40,Operations,Delhi,18,106300.0,6.6
276,35,Sales,Hyderabad,12,90700.0,8.7
277,25,Sales,Pune,2,26400.0,9.7
278,28,Engineering,Hyderabad,5,47400.0,6.0
279,29,Engineering,Hyderabad,7,49800.0,8.6
280,21,Engineering,Delhi,0,20700.0,5.8
281,34,Sales,Bangalore,11,89800.0,3.4
282,26,Marketing,Delhi,4,47300.0,6.1
283,30,Sales,Mumbai,8,62500.0,
284,37,Engineering,Hyderabad,16,105400.0,9.3
285,31,Sales,Delhi,8,60300.0,8.0
286,36,Marketing,Pune,15,87900.0,6.9
287,35,Sales,Bangalore,13,97700.0,5.7
288,32,Finance,Kolkata,9,77500.0,9.6
289,32,Marketing,Kolkata,11,72700.0,7.5
290,45,Marketing,Pune,24,143600.0,7.5
291,31,Finance,Kolkata,9,82200.0,6.3
292,43,HR,Pune,22,132900.0,5.9
293,26,Finance,Pune,4,52000.0,3.4
294,37,Operations,Chennai,15,87500.0,6.8
295,33,Sales,Kolkata,12,82900.0,9.1
296,27,Finance,Pune,4,33000.0,4.3
297,21,Engineering,Hyderabad,0,38900.0,7.5
298,43,Finance,Hyderabad,22,127600.0,6.0
299,24,Engineering,Kolkata,2,49600.0,5.3
300,25,Finance,Mumbai,3,37300.0,7.4
