passenger_id,pclass,sex,age,sibsp,parch,fare,embarked,survived
68,2,female,26.9,0,0,37.91,C,1
69,3,male,41.4,0,0,14.38,C,0
70,1,female,31.5,1,0,40.5,S,1
71,3,male,31.1,0,1,63.73,C,0
72,3,male,31.5,1,0,21.7,Q,0
73,3,male,29.5,0,0,106.96,S,0
74,3,female,43.4,0,0,10.83,S,1
75,3,female,35.8,0,0,10.65,C,1
76,1,male,20.9,2,0,68.64,S,1
77,1,male,30.8,2,2,34.47,S,1
78,1,male,27.9,1,1,145.87,C,0
79,1,male,,0,1,39.66,S,0
80,1,male,31.5,1,0,87.4,C,1
81,1,male,34.8,0,0,47.39,Q,0
82,3,male,8.3,0,0,45.6,S,0
83,1,male,34.3,0,0,40.35,C,0
84,3,male,,0,0,36.29,C,0
85,3,female,10.1,0,2,9.21,S,1
86,3,male,51.4,0,0,29.47,S,0
87,3,male,33.2,0,0,11.84,S,0
88,2,male,26.1,1,0,15.5,C,0
89,3,male,3.7,0,1,86.93,S,1
90,3,male,44.2,1,1,3.14,S,0
91,3,female,,0,0,0.71,S,0
92,3,female,21.8,0,0,83.03,C,1
93,3,male,,0,1,56.84,C,1
94,3,male,14.6,0,1,2.53,S,0
95,3,female,15.2,1,0,8.52,C,1
96,3,male,12.9,1,0,21.53,S,0
97,3,male,27.4,0,0,2.79,S,1
98,2,male,37.2,1,0,30.99,S,0
99,3,male,,0,2,103.88,C,0
100,1,female,34.7,0,0,69.17,Q,1
101,1,male,24.2,1,0,56.06,S,0
102,3,male,31.0,0,0,3.98,S,0
103,3,female,19.3,0,1,24.09,C,1
104,3,male,57.0,0,0,79.05,S,0
105,3,male,31.7,0,0,69.35,S,0
106,3,female,,2,0,32.73,S,0
107,1,female,14.0,1,1,63.63,S,1
108,3,male,51.4,1,0,37.01,C,0
109,3,male,9.9,0,0,0.42,S,0
110,3,female,22.9,0,0,1.47,S,0
111,3,male,34.7,0,0,,S,0
112,3,female,13.6,0,1,22.94,S,0
113,1,female,43.9,1,0,83.5,C,1
114,1,male,,0,1,39.7,S,0
115,1,male,17.5,0,0,55.9,S,0
116,3,female,44.8,0,1,18.58,S,0
117,3,male,16.5,0,0,38.71,S,0
118,1,male,15.0,1,0,32.05,C,0
119,2,male,32.4,1,0,33.06,S,0
120,1,male,,2,0,79.37,S,1
121,1,male,,0,0,30.02,S,0
122,3,male,40.8,0,0,12.38,S,0
123,3,female,8.4,1,1,12.63,S,1
124,3,female,17.0,0,0,16.76,S,0
125,2,female,,1,0,48.63,S,0
126,3,female,39.6,0,0,19.31,S,0
127,3,female,40.3,0,0,40.26,S,1
128,2,male,,1,0,37.03,S,0
129,1,male,10.9,0,2,40.51,S,0
130,1,male,30.9,1,0,86.15,S,1
131,1,male,,0,0,48.24,S,1
132,3,female,6.4,0,0,7.07,S,0
133,3,male,,0,1,11.76,S,0
134,3,male,38.0,0,0,74.14,Q,0
135,1,male,38.9,0,1,118.21,S,1
136,2,male,32.6,0,0,43.66,S,0
137,3,female,36.6,0,1,7.98,S,0
138,3,female,33.5,1,0,16.8,S,0
139,2,female,31.1,0,0,76.11,C,0
140,1,female,27.5,0,0,38.32,Q,1
141,3,female,16.8,0,0,9.05,S,1
142,2,male,25.6,1,1,26.2,C,0
143,3,male,23.4,2,0,15.45,S,0
144,1,female,61.4,1,0,34.59,C,1
145,3,female,32.6,0,1,8.12,S,1
146,3,female,,1,1,2.54,S,0
147,3,male,25.8,0,1,20.38,Q,0
148,2,male,,1,0,20.9,S,0
149,3,female,,1,0,7.3,Q,1
150,1,male,36.6,0,0,40.93,Q,0
151,2,female,28.6,0,0,31.66,S,0
152,2,male,40.4,0,0,29.33,S,0
153,3,female,,0,0,23.84,C,1
154,1,male,,2,1,31.8,S,0
155,3,female,41.3,0,0,0.6,S,1
156,3,male,,3,0,11.75,C,0
157,3,male,31.3,1,0,17.71,Q,0
158,2,male,32.5,0,2,136.5,S,0
159,1,female,24.3,1,1,30.72,S,1
160,2,female,22.2,0,0,70.73,S,1
161,3,male,3.0,0,0,5.12,S,0
162,3,female,45.1,0,2,23.68,Q,1
163,3,female,15.9,0,0,44.4,S,1
164,3,male,11.6,2,0,43.56,S,0
165,2,male,38.2,0,0,22.31,Q,0
166,3,female,3.3,1,0,49.77,,1
167,3,male,42.5,0,0,1.68,S,0
168,1,male,35.1,0,0,44.04,S,0
169,1,female,37.4,0,0,128.67,Q,1
170,3,male,26.7,1,1,42.73,S,0
171,3,female,12.0,0,0,16.17,S,1
172,2,male,2.6,1,0,,C,0
173,2,male,49.4,0,0,31.11,S,0
174,2,female,22.4,1,0,31.64,C,1
175,3,male,,0,1,99.23,S,0
176,1,female,51.2,0,0,36.88,S,1
177,3,male,20.2,1,0,49.95,S,0
178,3,female,25.7,1,1,,S,0
179,3,female,25.7,0,0,9.92,S,0
180,1,male,27.1,1,0,84.97,C,0
181,3,male,14.4,1,0,106.59,C,0
182,3,male,21.2,1,0,18.98,S,0
183,2,male,47.0,1,0,27.63,Q,0
184,3,female,39.7,0,1,18.93,S,0
185,3,male,,0,0,23.99,C,0
186,3,male,,0,0,26.97,S,0
187,1,male,33.7,0,0,51.58,S,0
188,1,male,27.4,0,1,86.32,S,0
189,3,female,23.8,0,0,12.02,S,0
190,2,male,43.6,2,1,164.33,C,0
191,3,male,4.0,0,0,22.11,S,1
192,1,male,45.8,0,1,32.56,,0
193,3,male,30.8,1,0,6.85,S,0
194,3,male,36.7,0,2,24.18,S,0
195,3,female,32.5,1,0,51.0,C,0
196,1,male,40.8,1,0,36.67,S,0
197,3,male,25.5,0,0,101.74,C,0
198,1,female,21.4,0,0,33.4,S,1
199,3,male,,2,0,106.63,S,0
200,2,male,31.5,0,0,21.35,C,0
201,1,male,11.4,1,1,57.29,Q,1
202,1,male,47.9,1,0,71.13,C,0
203,3,male,46.0,0,0,6.78,C,0
204,1,male,,0,1,45.49,S,0
205,1,female,30.1,0,0,33.38,S,1
206,2,female,33.9,0,0,73.66,C,0
207,3,female,23.7,0,0,21.4,C,0
208,3,female,15.4,0,0,34.2,S,0
209,3,male,29.9,0,0,21.62,S,0
210,2,female,31.5,0,0,96.11,C,1
211,3,male,,0,0,26.28,S,0
212,1,male,,0,0,47.82,Q,0
213,2,female,6.4,1,0,59.3,S,0
214,3,male,17.6,0,0,31.32,C,0
215,1,female,,0,1,49.68,S,1
216,1,female,47.1,0,0,32.28,S,0
217,2,male,25.4,0,0,147.94,S,0
218,3,male,24.5,0,0,2.8,S,0
219,1,female,16.6,0,1,46.46,S,1
220,1,female,18.3,0,0,77.5,S,1
221,3,male,10.7,0,0,7.93,S,0
222,1,male,43.2,0,1,41.94,S,0
223,3,male,37.5,0,0,5.02,S,0
224,3,female,42.9,1,0,3.94,S,0
225,3,male,,0,0,30.4,S,0
226,3,female,64.2,0,0,9.56,S,1
227,2,female,15.3,0,0,17.7,Q,1
228,1,male,0.4,0,0,109.33,S,1
229,2,male,24.9,0,1,24.84,C,0
230,2,female,30.9,0,1,35.32,S,0
231,3,male,39.6,2,1,29.06,S,0
232,1,male,14.8,0,0,60.95,C,0
233,1,male,37.3,1,1,43.91,S,0
234,3,male,52.9,0,0,26.03,S,0
235,2,male,17.1,0,0,67.7,S,0
236,2,female,18.6,1,0,37.34,S,1
237,3,male,5.2,1,0,10.77,C,0
238,2,female,32.4,1,0,23.39,S,0
239,1,female,41.0,0,0,41.79,S,1
240,3,female,39.7,0,1,19.55,C,1
241,3,female,40.7,1,0,63.36,S,0
242,3,male,48.8,0,1,26.11,S,0
243,1,male,30.8,1,0,69.85,S,1
244,2,male,42.3,0,1,42.79,C,0
245,1,male,15.7,0,0,41.66,S,1
246,2,male,17.9,0,0,116.43,S,0
247,3,female,,1,2,2.44,S,1
248,1,male,17.5,0,1,44.57,S,1
249,2,female,37.0,0,0,26.35,S,1
250,3,male,48.3,2,0,7.96,S,0
251,3,male,,0,0,1.32,S,0
252,3,male,18.7,1,0,16.59,S,0
253,3,male,18.5,0,0,135.63,Q,0
254,3,male,48.1,0,0,38.56,S,0
255,3,male,,0,0,4.84,C,0
256,3,female,30.3,0,0,60.3,S,1
257,1,female,25.4,2,0,77.15,S,1
258,3,male,,1,0,70.07,C,0
259,1,female,44.3,1,0,37.9,S,1
260,3,male,21.5,0,0,52.48,S,0
261,3,male,9.3,0,0,0.7,C,0
262,2,male,49.3,0,0,26.02,C,0
263,3,female,32.1,0,0,17.57,S,1
264,3,male,39.2,0,1,14.26,S,0
265,3,male,28.7,1,1,24.89,S,0
266,1,male,39.9,0,0,62.61,S,1
267,3,male,46.7,1,0,10.09,C,1
268,3,male,48.1,0,0,2.42,S,0
269,3,female,25.2,0,0,1.13,S,1
270,1,female,,1,0,45.89,S,1
271,2,male,,1,0,92.41,S,1
272,3,female,31.9,1,0,28.98,C,0
273,2,male,36.9,0,0,30.53,S,0
274,1,female,19.0,1,0,81.39,C,1
275,3,male,0.4,0,1,102.99,S,0
276,2,male,35.3,1,2,152.47,C,0
277,3,female,39.9,0,0,4.61,S,0
278,3,male,38.0,0,1,6.17,C,0
279,3,male,52.2,1,2,5.61,S,0
280,2,male,40.9,0,0,103.44,S,0
281,2,male,23.6,0,0,77.87,S,0
282,3,male,,1,0,21.38,S,0
283,3,female,27.8,1,1,29.12,S,1
284,3,male,46.6,1,0,18.4,S,0
285,3,male,,0,0,48.92,S,0
286,2,male,35.3,1,0,46.66,S,1
287,3,female,,1,1,12.87,S,1
288,3,female,29.8,1,0,4.4,S,0
289,3,male,8.0,0,1,23.41,C,0
290,3,female,29.8,0,1,1.08,C,1
291,1,male,0.4,0,0,53.27,S,1
292,3,male,36.0,0,0,12.39,C,0
293,1,male,42.9,2,0,,S,1
294,3,male,,0,3,9.37,S,0
295,1,male,,0,0,49.73,C,1
296,1,male,19.0,0,4,94.45,S,0
297,3,male,6.7,0,0,3.34,S,0
298,3,female,56.3,0,2,2.88,S,0
299,3,male,9.0,0,0,5.09,S,0
300,3,male,41.5,1,0,4.72,,0
301,3,male,0.4,1,1,67.12,S,1
302,1,male,,1,0,37.31,S,0
303,3,female,38.6,1,0,37.18,S,0
304,3,male,33.6,0,0,46.9,S,0
305,3,female,28.4,1,1,22.24,S,1
306,3,male,,0,0,44.76,S,0
307,3,female,,0,0,6.61,S,1
308,3,male,43.1,1,0,5.33,S,0
309,3,male,35.1,0,1,15.72,S,0
310,3,male,26.8,0,0,5.61,S,0
311,3,male,31.9,0,1,35.18,S,0
312,1,male,,0,1,,S,1
313,2,male,43.3,0,1,49.44,C,0
314,1,female,46.7,1,0,54.48,S,1
315,1,male,18.1,0,0,53.41,Q,0
316,1,female,30.4,0,1,40.54,S,1
317,1,female,43.7,0,1,110.0,Q,1
318,1,male,20.0,1,1,30.89,S,0
319,3,female,57.5,2,0,29.13,S,1
320,3,male,50.1,0,1,53.56,S,0
321,3,male,25.1,2,1,43.25,S,0
322,3,female,42.7,0,0,3.33,S,1
323,3,male,52.3,2,0,61.81,S,0
324,2,male,,0,1,66.11,Q,0
325,3,male,37.7,0,1,57.1,S,0
326,3,female,27.0,0,0,29.0,C,0
327,3,female,26.0,2,1,59.34,C,0
328,2,male,38.9,0,1,63.33,C,0
329,3,male,22.3,0,1,91.03,S,0
330,3,female,,0,1,26.98,Q,0
331,1,male,9.1,1,1,78.85,S,1
332,3,male,28.7,0,0,7.86,S,0
333,3,male,37.8,1,0,64.36,Q,0
334,1,male,,0,1,46.13,S,0
335,2,female,,0,1,39.72,Q,1
336,3,male,,0,0,0.96,Q,0
337,1,male,47.1,0,1,32.87,S,0
338,3,female,,1,0,19.27,S,1
339,3,male,18.6,1,1,29.89,,0
340,3,male,25.0,0,0,49.64,Q,0
341,3,male,45.9,0,1,50.34,C,0
342,3,male,20.9,0,1,23.09,S,0
343,2,male,23.5,0,0,53.2,S,0
344,3,male,28.6,0,2,1.8,C,1
345,1,female,,0,0,54.67,Q,0
346,3,female,41.6,2,0,22.59,S,0
347,2,male,0.4,1,1,54.39,C,0
348,3,male,49.3,0,1,22.51,S,0
349,3,male,22.9,0,0,3.19,S,0
350,1,female,11.4,0,0,64.01,C,1
351,1,male,33.0,0,0,72.76,S,0
352,1,male,5.0,0,1,59.03,S,0
353,1,male,36.5,0,0,96.88,C,1
354,3,female,39.8,1,0,37.51,S,1
355,3,male,,0,2,14.55,C,0
356,3,female,23.6,0,2,17.85,S,0
357,3,male,42.3,0,2,6.63,S,0
358,1,female,19.6,0,1,56.01,C,1
359,2,female,29.3,1,0,16.26,S,0
360,3,male,33.9,0,1,21.3,C,0
361,3,male,50.8,0,0,67.46,S,0
362,3,female,22.0,0,0,26.66,C,1
363,1,male,29.5,1,0,49.58,S,1
364,3,male,44.8,1,1,8.53,S,0
365,2,male,0.4,0,1,17.24,S,1
366,3,female,25.2,0,0,7.9,S,0
367,1,male,2.3,0,2,80.74,S,0
368,2,male,3.2,0,0,33.87,C,0
369,2,male,56.4,0,0,17.46,S,0
370,2,female,32.0,1,1,37.84,S,1
371,1,male,49.8,0,1,65.8,S,0
372,3,male,25.6,1,0,17.17,C,0
373,1,female,36.6,0,0,51.96,S,1
374,3,female,,0,1,2.83,S,0
375,3,female,,0,1,5.05,Q,1
376,3,female,28.0,0,0,25.85,S,1
377,2,male,30.8,0,1,28.04,S,0
378,2,male,50.5,1,0,32.32,S,0
379,3,male,26.2,0,0,107.27,S,0
380,2,female,34.3,1,2,18.66,S,1
381,1,male,25.4,1,0,30.51,S,0
382,3,male,31.0,0,0,8.43,S,0
383,1,female,10.6,0,0,67.34,Q,0
384,3,female,44.3,1,1,6.76,Q,1
385,2,female,21.7,0,0,25.63,S,1
386,2,male,29.6,3,0,37.15,S,0
387,3,female,26.0,2,0,13.75,Q,1
388,2,male,42.8,0,0,45.83,C,0
389,3,female,36.3,2,0,34.32,S,0
390,2,male,,0,0,29.91,S,0
391,3,male,31.5,0,0,16.5,S,0
392,3,male,33.8,0,0,102.47,S,0
393,3,male,39.6,1,0,19.95,S,0
394,1,male,36.1,1,0,76.39,C,0
395,2,female,47.0,0,0,273.66,S,1
396,3,male,51.7,2,2,3.94,S,0
397,2,male,37.6,1,1,18.54,S,0
398,3,female,10.5,0,0,6.06,S,0
399,1,female,53.5,0,0,33.76,Q,1
400,3,female,59.1,1,1,39.73,S,0
