house_id,sqft,bedrooms,bathrooms,age_years,distance_to_city_km,garage,price
102,1352.0,5,3,17,6.72,1,282111.0
103,1337.0,2,1,31,5.18,1,232205.0
104,1552.0,1,1,15,5.81,1,186496.0
105,1625.0,4,2,22,20.23,1,229341.0
106,1876.0,1,2,24,5.85,1,329585.0
107,1052.0,1,2,42,1.03,1,194087.0
108,1990.0,5,3,4,1.03,1,409196.0
109,709.0,3,3,43,1.51,1,213162.0
110,1833.0,2,1,17,10.29,1,302531.0
111,1849.0,1,2,28,2.65,1,299970.0
112,500.0,4,3,8,3.01,1,232310.0
113,1595.0,1,2,34,12.41,1,217052.0
114,2454.0,1,1,48,8.05,1,287600.0
115,2070.0,4,1,4,9.0,0,279574.0
116,1503.0,4,1,6,2.22,1,311005.0
117,1472.0,4,2,9,2.01,1,332577.0
118,1975.0,3,3,24,26.92,0,211798.0
119,1893.0,1,2,6,0.5,1,292988.0
120,2290.0,1,2,21,9.41,1,337057.0
121,1886.0,1,2,7,2.48,1,299563.0
122,2343.0,1,1,39,7.05,1,299981.0
123,2040.0,1,1,10,0.5,0,286031.0
124,1341.0,1,3,8,1.39,1,263026.0
125,1190.0,4,2,3,1.87,0,283817.0
126,1484.0,5,1,49,15.56,1,220257.0
127,2045.0,5,3,3,4.24,1,413408.0
128,1279.0,5,1,28,1.04,1,253310.0
129,2335.0,4,3,7,4.57,0,368527.0
130,877.0,4,3,27,8.5,0,156952.0
131,1641.0,2,2,34,0.5,1,305100.0
132,1241.0,4,1,27,6.19,1,269422.0
133,1988.0,3,1,5,2.64,1,303659.0
134,1882.0,4,3,2,40.0,0,220628.0
135,1709.0,1,1,32,0.53,1,281875.0
136,1058.0,1,1,22,12.15,1,153365.0
137,1271.0,2,2,44,25.59,0,140554.0
138,1404.0,5,3,31,5.1,0,268042.0
139,2396.0,4,1,6,2.29,1,473260.0
140,1414.0,5,3,35,26.86,1,229102.0
141,2101.0,5,3,47,11.62,0,303208.0
142,2352.0,2,3,5,4.11,0,397115.0
143,1293.0,5,2,17,5.79,1,270496.0
144,1490.0,2,1,23,12.6,0,201020.0
145,500.0,1,2,12,33.05,1,69390.0
146,1558.0,5,1,49,10.04,0,304310.0
147,2228.0,1,1,23,14.62,1,303027.0
148,1232.0,1,3,21,2.5,1,240055.0
149,2011.0,4,3,2,0.5,0,353521.0
150,2273.0,1,2,30,1.13,1,345886.0
151,2016.0,5,3,37,4.55,1,409861.0
152,1537.0,5,2,19,0.62,0,296246.0
153,1937.0,3,1,32,3.38,1,311837.0
154,1395.0,3,3,47,0.5,1,277068.0
155,1548.0,2,3,25,3.22,1,267033.0
156,3232.0,3,2,22,2.76,1,553184.0
157,1495.0,5,1,28,5.51,0,275888.0
158,1388.0,1,3,0,6.8,1,268265.0
159,1893.0,1,2,13,17.06,1,260786.0
160,1967.0,5,3,26,2.95,0,341712.0
161,2253.0,5,3,35,32.36,0,290212.0
162,1344.0,1,3,17,12.45,1,252348.0
163,1167.0,5,1,40,9.52,1,238881.0
164,1213.0,3,2,20,0.51,0,201230.0
165,2248.0,4,2,3,20.94,1,346228.0
166,2445.0,3,2,19,0.5,1,392273.0
167,1346.0,3,2,38,0.5,0,196564.0
168,1494.0,3,1,10,8.03,1,317365.0
169,1785.0,2,1,11,14.89,1,278084.0
170,1225.0,4,3,4,12.88,0,252837.0
171,1501.0,2,1,35,1.05,1,272326.0
172,2363.0,1,3,14,1.19,0,394804.0
173,1066.0,5,3,46,4.6,1,272144.0
174,2021.0,4,1,35,8.71,1,365959.0
175,2507.0,1,1,6,0.5,1,360086.0
176,1154.0,5,1,25,2.18,1,282543.0
177,2457.0,4,1,3,0.5,1,406970.0
178,1803.0,1,1,20,0.88,0,254088.0
179,1479.0,1,2,1,3.61,0,270762.0
180,2321.0,4,1,45,32.99,0,282275.0
181,1844.0,1,3,33,7.99,1,315745.0
182,1656.0,1,2,31,20.45,1,208041.0
183,1453.0,1,2,11,12.24,0,256538.0
184,1295.0,2,3,13,8.58,1,248069.0
185,1468.0,4,1,23,5.9,0,234515.0
186,1655.0,5,2,40,6.72,1,287268.0
187,2257.0,4,1,36,0.5,1,351575.0
188,1648.0,2,3,0,5.94,1,303420.0
189,1975.0,5,2,0,2.24,1,369879.0
190,1566.0,4,2,37,2.58,0,271664.0
191,2085.0,1,3,46,32.86,1,257683.0
192,1757.0,5,2,15,9.71,1,351869.0
193,2561.0,3,3,42,40.0,1,332047.0
194,1954.0,3,1,17,3.19,1,309667.0
195,801.0,2,2,39,4.24,1,172635.0
196,1727.0,1,3,43,2.66,1,297297.0
197,1535.0,3,2,31,1.05,0,291517.0
198,2373.0,2,1,36,13.49,1,317540.0
199,1812.0,5,1,30,4.08,0,298438.0
200,2318.0,2,1,25,1.89,1,374819.0
201,2246.0,1,2,25,4.7,0,308173.0
202,1402.0,1,1,6,3.09,1,236658.0
203,1617.0,3,3,16,3.26,1,282946.0
204,1825.0,2,2,41,13.99,1,281637.0
205,1160.0,1,3,2,3.78,0,202646.0
206,3841.0,1,3,11,2.6,1,607062.0
207,2115.0,1,1,10,4.47,0,329675.0
208,1034.0,4,3,26,15.59,1,230484.0
209,952.0,4,1,17,3.92,1,254197.0
210,1876.0,3,3,46,2.72,1,330496.0
211,1569.0,4,1,47,5.8,0,276310.0
212,869.0,1,3,45,11.37,1,156383.0
213,768.0,1,2,40,19.52,1,132528.0
214,1811.0,2,1,31,5.12,1,260172.0
215,1521.0,1,1,47,2.24,1,250551.0
216,2040.0,3,3,5,14.7,1,357357.0
217,1730.0,4,1,19,34.99,1,233135.0
218,2461.0,2,3,17,1.53,1,379866.0
219,702.0,2,1,17,26.89,1,74745.0
220,2161.0,1,2,27,1.16,1,307093.0
221,1312.0,5,2,21,1.31,1,334384.0
222,1238.0,5,2,14,3.23,1,327413.0
223,2378.0,4,2,28,9.22,1,363691.0
224,643.0,1,3,39,11.37,1,112844.0
225,1747.0,5,2,35,14.9,1,296245.0
226,1583.0,4,3,38,1.14,1,345195.0
227,2517.0,2,3,14,2.54,1,424042.0
228,923.0,5,3,22,0.6,1,283436.0
229,2010.0,5,2,45,0.5,0,355416.0
230,2084.0,2,1,12,20.28,1,260727.0
231,1789.0,3,1,15,0.74,1,296754.0
232,1865.0,2,2,26,3.63,1,300682.0
233,1707.0,5,2,40,2.55,0,347031.0
234,922.0,2,3,0,0.5,1,205884.0
235,1480.0,5,3,47,2.98,1,293522.0
236,641.0,1,1,46,0.5,1,167620.0
237,2364.0,5,1,15,1.89,1,425532.0
238,2370.0,4,2,17,14.58,0,335459.0
239,953.0,1,3,22,6.53,1,203894.0
240,2523.0,5,1,30,7.98,0,360430.0
241,1693.0,4,3,19,7.13,1,339276.0
242,886.0,2,3,7,0.5,0,182285.0
243,1361.0,1,1,8,6.6,0,232583.0
244,2145.0,3,2,5,18.3,1,315184.0
245,1738.0,3,2,7,6.15,1,333111.0
246,1153.0,1,1,32,7.42,1,171712.0
247,2194.0,5,2,15,4.49,1,406600.0
248,1665.0,2,1,29,8.2,1,246041.0
249,1492.0,5,1,21,19.19,0,237395.0
250,1046.0,5,3,31,8.16,0,246314.0
251,2101.0,3,2,25,1.91,1,378292.0
252,2304.0,5,1,16,8.92,0,352344.0
253,1167.0,1,1,11,3.32,0,190171.0
254,1615.0,4,2,42,11.85,0,220318.0
255,1630.0,5,3,16,0.5,1,318711.0
256,1890.0,4,1,10,4.91,1,307093.0
257,1143.0,3,2,48,34.39,1,145974.0
258,2990.0,4,2,45,4.38,0,430992.0
259,1961.0,4,1,43,0.81,1,338072.0
260,2327.0,4,2,31,4.28,1,430518.0
261,1601.0,2,3,16,5.09,1,279774.0
262,3055.0,5,2,41,10.14,1,459117.0
263,2064.0,5,2,24,0.78,1,378053.0
264,713.0,4,2,22,1.97,1,185421.0
265,2398.0,4,3,34,29.9,1,330369.0
266,1770.0,4,2,3,5.43,0,326513.0
267,1160.0,2,2,36,5.06,0,201853.0
268,1764.0,4,2,33,29.21,0,193315.0
269,1258.0,2,1,5,13.39,0,185994.0
270,2222.0,5,3,43,4.6,0,406637.0
271,2165.0,2,3,30,1.8,1,357810.0
272,964.0,5,3,32,13.17,0,253869.0
273,2195.0,3,3,32,17.12,0,329928.0
274,2428.0,1,1,33,14.88,0,249948.0
275,500.0,3,1,20,5.47,1,187716.0
276,2583.0,1,1,7,10.12,1,383439.0
277,2197.0,4,2,2,1.54,1,363965.0
278,2293.0,4,1,34,8.14,0,324025.0
279,2656.0,5,1,16,4.0,1,434358.0
280,1771.0,3,1,31,2.64,1,288123.0
281,1280.0,3,3,17,8.44,1,305063.0
282,2023.0,3,1,18,18.36,1,267895.0
283,1703.0,1,1,13,3.88,0,240678.0
284,2070.0,4,3,2,17.58,1,367871.0
285,500.0,2,2,27,9.2,0,124539.0
286,1551.0,2,1,2,4.04,1,250960.0
287,3355.0,4,3,27,8.86,1,496208.0
288,2025.0,4,2,7,13.11,0,328465.0
289,2400.0,4,3,29,6.77,0,399690.0
290,2003.0,3,2,40,1.66,1,335377.0
291,1590.0,3,3,22,1.33,1,282924.0
292,2306.0,1,3,3,8.01,0,316488.0
293,2245.0,4,3,47,3.92,1,404255.0
294,1589.0,4,1,36,2.6,0,274025.0
295,1686.0,2,3,4,34.47,1,193707.0
296,2203.0,2,2,40,9.86,1,356017.0
297,1320.0,3,2,7,1.71,1,313891.0
298,1293.0,4,3,16,14.02,1,281924.0
299,2503.0,5,1,20,3.04,1,414268.0
300,2489.0,3,2,31,4.66,1,380341.0
