customer_id,name,city,age,monthly_income,signup_date
69,Customer_69,Mumbai,32.0,52023.83,2025-07-24
70,Customer_70,Delhi,57.0,124327.5,2025-07-27
71,Customer_71,Chennai,23.0,60586.28,2025-07-30
72,Customer_72,Mumbai,61.0,41407.4,2025-08-02
73,Customer_73,Chennai,36.0,61165.94,2025-08-05
74,Customer_74,Pune,57.0,83833.45999999999,2025-08-08
75,Customer_75,Hyderabad,50.0,53220.45,2025-08-11
76,Customer_76,Chennai,43.0,50863.51,2025-08-14
77,Customer_77,Hyderabad,52.0,133954.06,2025-08-17
78,Customer_78,Mumbai,50.0,87782.54,2025-08-20
79,Customer_79,Chennai,34.0,115408.29,2025-08-23
80,Customer_80,Hyderabad,53.0,136204.15,2025-08-26
83,Customer_83,Mumbai,45.0,32981.11,2025-09-04
84,Customer_84,Hyderabad,43.0,144850.45,2025-09-07
85,Customer_85,Delhi,50.0,124681.55,2025-09-10
86,Customer_86,Pune,49.0,102940.21,2025-09-13
87,Customer_87,Mumbai,20.0,83833.45999999999,2025-09-16
88,Customer_88,Mumbai,40.0,146061.08,2025-09-19
89,Customer_89,Pune,28.0,19797.37,2025-09-22
90,Customer_90,Delhi,47.0,72136.62,2025-09-25
91,Customer_91,Delhi,43.0,142495.92,2025-09-28
92,Customer_92,Hyderabad,35.0,58093.32,2025-10-01
93,Customer_93,Mumbai,21.0,119883.43,2025-10-04
94,Customer_94,Bangalore,19.0,146637.37,2025-10-07
95,Customer_95,Chennai,19.0,109761.17,2025-10-10
96,Customer_96,Mumbai,33.0,83833.45999999999,2025-10-13
97,Customer_97,Delhi,51.0,145769.63,2025-10-16
98,Customer_98,Mumbai,51.0,68421.28,2025-10-19
99,Customer_99,Chennai,29.0,143426.72,2025-10-22
100,Customer_100,Delhi,29.0,32469.82,2025-10-25
101,Customer_101,Hyderabad,31.0,141503.66,2025-10-28
102,Customer_102,Delhi,55.0,117209.58,2025-10-31
103,Customer_103,Mumbai,43.0,83833.45999999999,2025-11-03
104,Customer_104,Delhi,43.0,104487.74,2025-11-06
105,Customer_105,Hyderabad,35.0,83833.45999999999,2025-11-09
106,Customer_106,Pune,27.0,85125.84,2025-11-12
107,Customer_107,Mumbai,47.0,83941.17,2025-11-15
109,Customer_109,Delhi,21.0,125033.56,2025-11-21
110,Customer_110,Hyderabad,48.0,144931.16,2025-11-24
111,Customer_111,Chennai,56.0,94499.12,2025-11-27
112,Customer_112,Hyderabad,64.0,69574.03,2025-11-30
113,Customer_113,Delhi,46.0,103543.39,2025-12-03
114,Customer_114,Mumbai,42.0,68425.1,2025-12-06
115,Customer_115,Chennai,19.0,95354.57,2025-12-09
116,Customer_116,Hyderabad,59.0,73410.88,2025-12-12
117,Customer_117,Chennai,19.0,35637.41,2025-12-15
119,Customer_119,Mumbai,34.0,63510.1,2025-12-21
120,Customer_120,Delhi,61.0,28811.92,2025-12-24
